LA,LevelTwo
Isle of Anglesey,59
Gwynedd,66
Conwy,56
Denbighshire,59
Flintshire,62
Wrexham,55
Powys,65
Ceredigion,70
Pembrokeshire,59
Carmarthenshire,65
Swansea,65
Neath Port Talbot,61
Bridgend,62
The Vale of Glamorgan,67
Rhondda Cynon Taf,57
Merthyr Tydfil,54
Cardiff,63
Caerphilly,53
Blaenau Gwent,48
Torfaen,54
Monmouthshire,67
Newport,57
County Durham,58
Darlington,57
Gateshead,59
Hartlepool,48
Middlesbrough,50
Newcastle upon Tyne,56
North Tyneside,63
Northumberland,55
Redcar and Cleveland,56
South Tyneside,58
Stockton-on-Tees,58
Sunderland,54
Blackburn with Darwen,60
Blackpool,43
Bolton,54
Bury,57
Cheshire East,62
Cheshire West and Chester,62
Cumbria,57
Halton,56
Knowsley,36
Lancashire,58
Liverpool,51
Manchester,50
Oldham,52
Rochdale,53
Salford,48
Sefton,55
St. Helens,54
Stockport,62
Tameside,58
Trafford,71
Warrington,58
Wigan,58
Wirral,62
Barnsley,55
Bradford,46
Calderdale,60
Doncaster,55
East Riding of Yorkshire,62
"Kingston upon Hull, City of",46
Kirklees,56
Leeds,54
North East Lincolnshire,52
North Lincolnshire,60
North Yorkshire,62
Rotherham,58
Sheffield,54
Wakefield,59
York,64
Derby,46
Derbyshire,55
Leicester,51
Leicestershire,58
Lincolnshire,57
Northamptonshire,54
Nottingham,45
Nottinghamshire,60
Rutland,71
Birmingham,54
Coventry,54
Dudley,50
"Herefordshire, County of",58
Sandwell,45
Shropshire,57
Solihull,60
Staffordshire,55
Stoke-on-Trent,49
Telford and Wrekin,53
Walsall,51
Warwickshire,63
Wolverhampton,53
Worcestershire,60
Bedford,53
Cambridgeshire,61
Central Bedfordshire,58
Essex,59
Hertfordshire,65
Luton,50
Norfolk,55
Peterborough,49
Southend-on-Sea,65
Suffolk,54
Thurrock,55
Camden,57
City of London,.
Hackney,64
Hammersmith and Fulham,64
Haringey,59
Islington,59
Kensington and Chelsea,70
Lambeth,57
Lewisham,51
Newham,58
Southwark,64
Tower Hamlets,57
Wandsworth,64
Westminster,67
Barking and Dagenham,54
Barnet,68
Bexley,61
Brent,57
Bromley,67
Croydon,55
Ealing,59
Enfield,58
Greenwich,55
Harrow,61
Havering,57
Hillingdon,58
Hounslow,60
Kingston upon Thames,76
Merton,65
Redbridge,65
Richmond upon Thames,67
Sutton,71
Waltham Forest,57
Bracknell Forest,57
Brighton and Hove,60
Buckinghamshire,69
East Sussex,58
Hampshire,61
Isle of Wight,45
Kent,59
Medway,60
Milton Keynes,53
Oxfordshire,59
Portsmouth,53
Reading,59
Slough,67
Southampton,52
Surrey,65
West Berkshire,59
West Sussex,59
Windsor and Maidenhead,66
Wokingham,66
Bath and North East Somerset,64
Bournemouth,62
"Bristol, City of",53
Cornwall,59
Devon,59
Dorset,58
Gloucestershire,62
Isles of Scilly,65
North Somerset,57
Plymouth,52
Poole,63
Somerset,56
South Gloucestershire,55
Swindon,54
Torbay,59
Wiltshire,61
